"site","block","nitrogen","per_N","per_C","cn_ratio"
"Hancock","R2","amended",0.158666666666667,1.74366666666667,10.9894957983193
"Hancock","R2","control",0.124333333333333,1.43333333333333,11.5281501340483
"Hancock","R3","amended",0.0226666666666667,0.245333333333333,10.8235294117647
"Hancock","R3","control",0.028,0.322666666666667,11.5238095238095
"Hancock","R4","amended",0.0746666666666667,0.814,10.9017857142857
"Hancock","R4","control",0.059,0.705,11.9491525423729
"Oregon","R1","amended",0.206666666666667,1.619,7.83387096774194
"Oregon","R1","control",0.187666666666667,1.442,7.68383658969805
"Oregon","R2","amended",0.322666666666667,1.95033333333333,6.04442148760331
"Oregon","R2","control",0.262,1.58966666666667,6.06743002544529
"Oregon","R3","amended",0.214666666666667,1.959,9.12577639751553
"Oregon","R3","control",0.243,1.876,7.7201646090535
"Oregon","R4","amended",0.297333333333333,1.783,5.99663677130045
"Oregon","R4","control",0.301666666666667,1.61333333333333,5.34806629834254
"Rhinelander","R1","amended",0.112666666666667,1.34333333333333,11.9230769230769
"Rhinelander","R1","control",0.109666666666667,1.327,12.1003039513678
"Rhinelander","R2","amended",0.131333333333333,1.57433333333333,11.9873096446701
"Rhinelander","R2","control",0.133333333333333,1.59133333333333,11.935
"Rhinelander","R3","amended",0.135,1.32566666666667,9.81975308641975
"Rhinelander","R3","control",0.0886666666666667,1.14833333333333,12.9511278195489
"Rhinelander","R4","amended",0.125666666666667,1.13066666666667,8.9973474801061
"Rhinelander","R4","control",0.118,1.364,11.5593220338983
