site,block,subsample,nitrogen,sample_mass,per_N,per_C
Hancock,R2,E,control,23.003,0.117,1.379
Hancock,R2,F,control,22.312,0.12,1.399
Hancock,R2,G,control,23.384,0.136,1.522
Hancock,R2,A,amended,24.197,0.165,1.747
Hancock,R2,B,amended,22.868,0.163,1.789
Hancock,R2,C,amended,22.607,0.148,1.695
Hancock,R3,A,amended,24.012,0.019,0.21
Hancock,R3,B,amended,23.888,0.02,0.247
Hancock,R3,C,amended,22.682,0.029,0.279
Hancock,R3,E,control,22.488,0.026,0.276
Hancock,R3,F,control,24.379,0.029,0.339
Hancock,R3,G,control,22.701,0.029,0.353
Hancock,R4,A,amended,21.177,0.065,0.705
Hancock,R4,B,amended,22.331,0.087,0.987
Hancock,R4,C,amended,21.32,0.072,0.75
Hancock,R4,E,control,34.583,0.047,0.555
Hancock,R4,F,control,20.801,0.074,0.826
Hancock,R4,G,control,23.367,0.056,0.734
Oregon,R1,A,amended,8.958,0.201,1.522
Oregon,R1,B,amended,9.306,0.195,1.556
Oregon,R1,C,amended,8.916,0.224,1.779
Oregon,R1,E,control,8.867,0.167,1.232
Oregon,R1,F,control,7.888,0.204,1.5
Oregon,R1,G,control,8.672,0.192,1.594
Oregon,R2,A,amended,9.477,0.279,1.565
Oregon,R2,B,amended,6.455,0.462,2.937
Oregon,R2,C,amended,9.979,0.227,1.349
Oregon,R2,E,control,8.779,0.319,1.719
Oregon,R2,F,control,9.702,0.303,1.455
Oregon,R2,G,control,8.616,0.164,1.595
Oregon,R3,A,amended,9.634,0.209,1.792
Oregon,R3,B,amended,9.915,0.217,2.182
Oregon,R3,C,amended,7.933,0.218,1.903
Oregon,R3,E,control,9.179,0.219,1.877
Oregon,R3,F,control,7.93,0.266,1.889
Oregon,R3,G,control,9.602,0.244,1.862
Oregon,R4,A,amended,6.474,0.376,2.518
Oregon,R4,B,amended,7.943,0.277,1.47
Oregon,R4,C,amended,9.459,0.239,1.361
Oregon,R4,E,control,8.354,0.298,1.662
Oregon,R4,F,control,9.167,0.29,1.726
Oregon,R4,G,control,8.116,0.317,1.452
Rhinelander,R1,A,amended,8.783,0.123,1.258
Rhinelander,R1,B,amended,9.335,0.113,1.329
Rhinelander,R1,C,amended,8.756,0.102,1.443
Rhinelander,R1,E,control,8.724,0.098,1.373
Rhinelander,R1,F,control,8.859,0.113,1.268
Rhinelander,R1,G,control,9.546,0.118,1.34
Rhinelander,R2,A,amended,8.808,0.105,1.566
Rhinelander,R2,B,amended,9.52,0.146,1.585
Rhinelander,R2,C,amended,8.722,0.143,1.572
Rhinelander,R2,E,control,8.855,0.137,1.665
Rhinelander,R2,F,control,9.556,0.119,1.602
Rhinelander,R2,G,control,8.489,0.144,1.507
Rhinelander,R3,A,amended,8.748,0.124,1.318
Rhinelander,R3,B,amended,9.292,0.146,1.219
Rhinelander,R3,C,amended,9.498,0.135,1.44
Rhinelander,R3,E,control,8.52,0.082,1.136
Rhinelander,R3,F,control,9.965,0.087,1.19
Rhinelander,R3,G,control,8.905,0.097,1.119
Rhinelander,R4,A,amended,9.123,0.105,1.221
Rhinelander,R4,B,amended,8.176,0.104,0.945
Rhinelander,R4,C,amended,8.201,0.168,1.226
Rhinelander,R4,E,control,9.464,0.111,1.303
Rhinelander,R4,F,control,9.02,0.113,1.439
Rhinelander,R4,G,control,9.664,0.13,1.35
