# Agronomic Soil Chemistry from Deep and Surface Soil Cores- Marginal Sites
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/438
# The newest version of the data https://data.sustainability.glbrc.org/datatables/438.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/132.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year soil sample was collected
# sample_date		date of soil coring
# site		Wisconsin or Michigan sampling site
# treatment		experimental treatment
# replicate		replicate nested within treatment
# campaign		sampling intent
# top_depth_cm	centimeter	upper soil sampling depth
# bottom_depth_cm	centimeter	lower soil sampling depth
# ph	dimensionless	pH of soil solution
# lime_index		indicator of potential acidity
# p_ppm	milligramsPerKilogram	phosphorus in soil
# k_ppm	milligramsPerKilogram	potassium in soil
# ca_ppm	milligramsPerKilogram	calcium in soil
# mg_ppm	milligramsPerKilogram	magnesium ppm  in soil
# field_section		section of the field sampled
# n_treatment		nitrogen treatment of given split plot
# est_cec	milliEquivalentsPerHundredGram	Cation exchange capacity in meq/100g soil
# om_percent	gramsPerHectogram	organic matter percent
# wi_plot_id		Arlington Wisconsin site's plot identifier
# comments		notes
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,sample_date,site,treatment,replicate,campaign,top_depth_cm,bottom_depth_cm,ph,lime_index,p_ppm,k_ppm,ca_ppm,mg_ppm,field_section,n_treatment,est_cec,om_percent,wi_plot_id,comments
#,,,,,,centimeter,centimeter,dimensionless,,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,,,milliEquivalentsPerHundredGram,gramsPerHectogram,,
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G10,R1,surface sampling,0,22,6.7,71.0,37.0,29.0,732.0,121.0,entire plot,control,4.74269,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G10,R2,surface sampling,0,22,6.4,70.0,37.0,61.0,397.0,59.0,entire plot,control,2.63308,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G10,R3,surface sampling,0,22,6.7,70.0,51.0,156.0,476.0,95.0,entire plot,control,3.57167,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G10,R4,surface sampling,0,22,6.2,69.0,19.0,99.0,560.0,104.0,entire plot,control,5.12051,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G11,R1,surface sampling,0,22,6.5,70.0,54.0,33.0,546.0,81.0,entire plot,control,3.48962,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G11,R2,surface sampling,0,22,6.3,69.0,31.0,31.0,567.0,72.0,entire plot,control,4.71449,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G11,R3,surface sampling,0,22,6.8,,51.0,69.0,813.0,162.0,entire plot,control,5.59192,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G11,R4,surface sampling,0,22,6.7,71.0,22.0,46.0,530.0,105.0,entire plot,control,3.64295,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G5,R1,surface sampling,0,22,6.3,70.0,35.0,30.0,464.0,53.0,entire plot,control,2.83859,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G5,R2,surface sampling,0,22,6.2,68.0,35.0,27.0,529.0,79.0,entire plot,control,5.77256,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G5,R3,surface sampling,0,22,6.3,70.0,28.0,67.0,492.0,73.0,entire plot,control,3.24013,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G5,R4,surface sampling,0,22,6.2,69.0,62.0,59.0,446.0,70.0,entire plot,control,4.16462,,,Sample was collected in September 2012 but the actual date in September is unknown.
2012,2012-09-15,Michigan Central - Lake City Exp. Station,G6,R1,surface sampling,0,22,6.8,,29.0,21.0,653.0,100.0,entire plot,control,4.15218,,,Sample was collected in September 2012 but the actual date in September is unknown.
