# Dry Matter Yield - Marginal Land Experiments
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/465
# The newest version of the data https://data.sustainability.glbrc.org/datatables/465.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/132.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year of the growing season
# harvest_date		date of harvest or G11 sampling
# site		experiment location
# treatment		experimental treatment
# replicate		replicate nested within treatment
# crop		crop
# field_section		section of the field (entire, east, west, rainout, or ambient)
# n_treatment		nitrogen experimental treatment
# area_harvested_ft2	squareFoot	area harvested
# dry_matter_yield_mg_ha	megagramsPerHectare	yield as dry matter
# moisture_at_harvest	gramsPerHectogram	percent moisture measured at harvest
# comments		specific notes for a given row
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2014 yield calculations- Wisconsin removed the area of the ANPP sampling (3- 1m2 quadrats/plot).  Michigan did not remove the ANPP sampling area because the ANPP may not have been in the harvested area and this area was it was very minor.
#April 12, 2016- Michigan 2014 yield calculations and Michigan and Wisconsin 2015 G11 yield were corrected. 
#
year,harvest_date,site,treatment,replicate,crop,field_section,n_treatment,area_harvested_ft2,dry_matter_yield_mg_ha,moisture_at_harvest,comments
#,,,,,,,,squareFoot,megagramsPerHectare,gramsPerHectogram,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G10,R1,restored prairie,entire plot,control,1824,1.636538,54.10,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G10,R2,restored prairie,entire plot,control,1856,1.882414,54.62,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G10,R3,restored prairie,entire plot,control,1856,1.618617,47.15,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G10,R4,restored prairie,entire plot,control,1888,1.065969,51.20,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G11,R1,historical vegetation,entire plot,control,1824,1.249913,64.41,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G11,R2,historical vegetation,entire plot,control,1728,0.697398,65.82,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G11,R3,historical vegetation,entire plot,control,1824,0.375508,66.80,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G11,R4,historical vegetation,entire plot,control,1728,0.750144,69.87,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G5,R1,switchgrass,entire plot,control,1824,6.997817,43.00,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G5,R2,switchgrass,entire plot,control,928,9.153319,45.54,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G5,R3,switchgrass,entire plot,control,1824,5.331187,48.17,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G5,R4,switchgrass,entire plot,control,1856,4.630519,48.96,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G6,R1,miscanthus,entire plot,control,1920,2.657593,49.06,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G6,R2,miscanthus,entire plot,control,1920,3.884122,47.43,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G6,R3,miscanthus,entire plot,control,1920,4.208902,47.70,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G6,R4,miscanthus,entire plot,control,1920,2.747029,50.60,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G7,R1,native grasses,entire plot,control,1824,4.272814,39.27,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G7,R2,native grasses,entire plot,control,1824,4.955097,41.41,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G7,R3,native grasses,entire plot,control,1856,3.640061,41.93,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G7,R4,native grasses,entire plot,control,1792,2.386364,44.01,
2014,,Michigan Central - Lake City Exp. Station,G8,R1,"NM6, poplar",entire plot,control,,,,
2014,,Michigan Central - Lake City Exp. Station,G8,R2,"NM6, poplar",entire plot,control,,,,
2014,,Michigan Central - Lake City Exp. Station,G8,R3,"NM6, poplar",entire plot,control,,,,
2014,,Michigan Central - Lake City Exp. Station,G8,R4,"NM6, poplar",entire plot,control,,,,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R1,early successional,south,control,928,1.318806,70.61,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R1,early successional,north,plus_n,896,2.223185,65.80,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R2,early successional,north,control,928,2.778048,73.85,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R2,early successional,south,plus_n,928,2.619108,81.61,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R3,early successional,north,control,896,1.765877,68.22,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R3,early successional,south,plus_n,896,0.834409,63.80,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R4,early successional,south,control,896,1.781235,69.55,
2014,2014-10-09,Michigan Central - Lake City Exp. Station,G9,R4,early successional,north,plus_n,928,1.332717,70.36,
2014,2014-10-21,Michigan North - Escanaba,G10,R1,restored prairie,entire plot,control,7424,0.031384,57.37,
2014,2014-10-21,Michigan North - Escanaba,G10,R2,restored prairie,entire plot,control,4928,0.031832,63.59,
2014,2014-10-21,Michigan North - Escanaba,G10,R3,restored prairie,entire plot,control,4800,0.032841,66.84,
2014,2014-10-21,Michigan North - Escanaba,G10,R4,restored prairie,entire plot,control,7168,0.032393,62.71,
2014,2014-10-21,Michigan North - Escanaba,G11,R1,historical vegetation,entire plot,control,6464,0.033626,55.44,
2014,2014-10-21,Michigan North - Escanaba,G11,R2,historical vegetation,entire plot,control,7232,0.032729,56.94,
2014,2014-10-21,Michigan North - Escanaba,G11,R3,historical vegetation,entire plot,control,7360,0.031945,56.79,
2014,2014-10-21,Michigan North - Escanaba,G11,R4,historical vegetation,entire plot,control,7072,0.032281,53.35,
2014,2014-10-21,Michigan North - Escanaba,G5,R1,switchgrass,entire plot,control,14208,0.032505,42.99,
2014,2014-10-21,Michigan North - Escanaba,G5,R2,switchgrass,entire plot,control,7648,0.032505,50.93,
2014,2014-10-21,Michigan North - Escanaba,G5,R3,switchgrass,entire plot,control,4768,0.033065,53.91,
2014,2014-10-21,Michigan North - Escanaba,G5,R4,switchgrass,entire plot,control,5760,0.032169,52.33,
2014,2014-10-21,Michigan North - Escanaba,G6,R1,miscanthus,entire plot,control,7424,0.033850,44.46,
2014,2014-10-21,Michigan North - Escanaba,G6,R2,miscanthus,entire plot,control,2368,0.033178,51.13,
2014,2014-10-21,Michigan North - Escanaba,G6,R3,miscanthus,entire plot,control,1216,0.033065,51.95,
2014,2014-10-21,Michigan North - Escanaba,G6,R4,miscanthus,entire plot,control,2400,0.030936,65.39,
2014,2014-10-21,Michigan North - Escanaba,G7,R1,native grasses,entire plot,control,6464,0.032505,62.12,
2014,2014-10-21,Michigan North - Escanaba,G7,R2,native grasses,entire plot,control,5504,0.031720,61.73,
2014,2014-10-21,Michigan North - Escanaba,G7,R3,native grasses,entire plot,control,1920,0.033065,67.38,
