# Annual Net Primary Productivity on the Marginal Land Experiment
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/588
# The newest version of the data https://data.sustainability.glbrc.org/datatables/588.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/178.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year of sampling date
# site		site of marginal land experiment
# sample_date		
# campaign		experimental campaign
# treatment		treatment in MLE site
# replicate		nested replicates of treatment
# field_section		field section within replicate
# station		
# nitrogen		nitrogen adding or control
# area_sampled	squareMeter	sampling area
# wet_weight	kilogram	wet weight of plant sample
# dry_weight	kilogram	dry weight of plant sample
# biomass	gramsPerSquareMeter	crop biomass
# moisture	gramsPerHectogram	percent moisture
# comment		
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,site,sample_date,campaign,treatment,replicate,field_section,station,nitrogen,area_sampled,wet_weight,dry_weight,biomass,moisture,comment
#,,,,,,,,,squareMeter,kilogram,kilogram,gramsPerSquareMeter,gramsPerHectogram,
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R1,north,west,plus_n,1,0.892,0.459234,459.234,51.4837,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R1,north,east,plus_n,1,0.587,0.302209,302.209,51.4837,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R1,south,east,control,1,0.557,0.289024,289.024,51.8895,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R1,south,west,control,1,0.742,0.38502,385.02,51.8895,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R2,north,west,plus_n,1,0.422,0.231508,231.508,54.8598,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R2,north,east,plus_n,1,0.492,0.26991,269.91,54.8598,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R2,south,west,control,1,0.637,0.303333,303.333,47.619,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R2,south,east,control,1,0.522,0.248571,248.571,47.619,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R3,north,west,plus_n,1,0.875,0.474678,474.678,54.2489,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R3,north,east,plus_n,1,0.8,0.433991,433.991,54.2489,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R3,south,east,control,1,1.065,0.545759,545.759,51.2449,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R3,south,west,control,1,1.67,0.85579,855.79,51.2449,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R4,north,west,plus_n,1,1.62,0.737002,737.002,45.4939,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R4,north,east,plus_n,1,1.025,0.466313,466.313,45.4939,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R4,south,east,control,1,1.07,0.501127,501.127,46.8343,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G10,R4,south,west,control,1,0.795,0.372333,372.333,46.8343,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R1,north,east,control,1,0.59,0.352662,352.662,59.7732,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R1,north,west,control,1,0.48,0.286912,286.912,59.7732,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R1,south,west,plus_n,1,0.6,0.279169,279.169,46.5282,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R1,south,east,plus_n,1,0.68,0.316392,316.392,46.5282,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R2,north,east,control,1,0.482,0.247278,247.278,51.3025,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R2,north,west,control,1,0.337,0.172889,172.889,51.3025,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R2,south,west,plus_n,1,0.782,0.381355,381.355,48.7666,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R2,south,east,plus_n,1,0.642,0.313082,313.082,48.7666,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R3,north,east,plus_n,1,0.527,0.246308,246.308,46.7378,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R3,north,west,plus_n,1,0.582,0.272014,272.014,46.7378,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R3,south,west,control,1,0.587,0.329727,329.727,56.1716,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R3,south,east,control,1,0.497,0.279173,279.173,56.1716,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R4,north,west,plus_n,1,0.482,0.227922,227.922,47.2868,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R4,north,east,plus_n,1,0.487,0.230287,230.287,47.2868,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R4,south,east,control,1,0.482,0.269786,269.786,55.9721,""
2018,Michigan Central - Lake City Exp. Station,,peak biomass,G11,R4,south,west,control,1,0.542,0.303369,303.369,55.9721,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R1,north,west,control,1,1.795,0.908307,908.307,50.6021,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R1,north,east,control,1,1.555,0.786862,786.862,50.6021,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R1,south,west,plus_n,1,1.345,0.630151,630.151,46.8514,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R1,south,east,plus_n,1,1.535,0.719169,719.169,46.8514,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R2,north,west,plus_n,1,2.155,1.09437,1094.37,50.7829,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R2,north,east,plus_n,1,1.895,0.962335,962.335,50.7829,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R2,south,east,control,1,1.725,0.908012,908.012,52.6384,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R2,south,west,control,1,2.365,1.2449,1244.9,52.6384,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R3,north,east,plus_n,1,1.945,1.03375,1033.75,53.1492,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R3,north,west,plus_n,1,2.12,1.12676,1126.76,53.1492,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R3,south,east,control,1,2.3853,1.38455,1384.55,58.0451,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R3,south,west,control,1,1.435,0.832946,832.946,58.0451,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R4,north,west,control,1,1.5,0.773904,773.904,51.5936,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R4,north,east,control,1,1.415,0.730049,730.049,51.5936,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R4,south,west,plus_n,1,1.39,0.73681,736.81,53.0079,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G5,R4,south,east,plus_n,1,1.775,0.94089,940.891,53.0079,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R1,north,west,control,1,2.56,1.1799,1179.9,46.09,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R1,north,east,control,1,2.59,1.19373,1193.73,46.09,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R1,south,east,plus_n,1,2.43,1.06285,1062.85,43.7388,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R1,south,west,plus_n,1,3.665,1.60303,1603.03,43.7388,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R2,north,east,control,1,3.725,1.6891,1689.1,45.3451,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R2,north,west,control,1,3.13,1.4193,1419.3,45.3451,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R2,south,east,plus_n,1,1.86,0.775503,775.503,41.6937,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R2,south,west,plus_n,1,3.775,1.57394,1573.94,41.6937,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R3,north,west,control,1,3.84,1.70978,1709.78,44.5255,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R3,north,east,control,1,2.595,1.15544,1155.44,44.5255,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R3,south,east,plus_n,1,3.31,1.51488,1514.88,45.7668,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R3,south,west,plus_n,1,2.655,1.21511,1215.11,45.7668,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R4,north,west,control,1,2.27,1.04689,1046.89,46.1184,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R4,north,east,control,1,1.625,0.749423,749.423,46.1184,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R4,south,east,plus_n,1,5.25,2.4306,2430.6,46.2971,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G6,R4,south,west,plus_n,1,4.115,1.90512,1905.12,46.2971,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R1,north,east,plus_n,1,2.43,1.11606,1116.06,45.9283,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R1,north,west,plus_n,1,1.705,0.783078,783.078,45.9283,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R1,south,west,control,1,1.375,0.678534,678.534,49.3479,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R1,south,east,control,1,1.795,0.885795,885.795,49.3479,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,north,west,control,1,1.27,0.566703,566.703,44.6223,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,north,east,control,1,1.72,0.767503,767.504,44.6223,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,south,west,plus_n,1,1.435,0.776756,776.756,54.1294,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R2,south,east,plus_n,1,1.06,0.573771,573.771,54.1294,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,north,east,control,1,1.017,0.519558,519.558,51.0873,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,north,west,control,1,0.687,0.35097,350.97,51.0873,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,south,west,plus_n,1,1.355,0.732959,732.959,54.0929,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R3,south,east,plus_n,1,0.48,0.259646,259.646,54.0929,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R4,north,west,plus_n,1,0.45,0.249483,249.483,55.4406,""
2018,Michigan Central - Lake City Exp. Station,2018-10-26,peak biomass,G7,R4,north,east,plus_n,1,0.365,0.202358,202.358,55.4406,""
