# Species transect plant heights
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/592
# The newest version of the data https://data.sustainability.glbrc.org/datatables/592.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/178.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		sample date
# site		experimental site
# plot		Plot sampled
# subplot		N+ or N- subplot
# line		transect line sampled
# species		species measured
# height	centimeter	height to the top of the plant canopy
# has_lodged		had the plant that was measured lodged?
# comments		comments about the observation
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,site,plot,subplot,line,species,height,has_lodged,comments
#,,,,,,centimeter,,
2018-09-05,Hancock,G9-R2,N-,4,Poa pratensis L.,30,f,
2018-09-06,Escanaba,G5-R1,N+,1,Panicum virgatum L.,127,t,disturbed
2018-09-07,Escanaba,G5-R2,N+,1,Panicum virgatum L.,179,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,190,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Lespedeza capitata,104,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Panicum virgatum L.,155,f,
2018-09-05,Hancock,G9-R4,N-,3,Berteroa incana (L.) DC.,78,f,
2018-09-05,Hancock,G10-R4,N-,1,Panicum virgatum L.,135,f,
2018-09-06,Rhinelander,G8-R2,N-,2,Trifolium pratense L.,21,f,Row 3-4 -- 
2018-09-05,Rhinelander,G8-R4,N-,3,Taraxacum officinale Weber in,5,f,Row 5-6 -- Row 5-6    Only 3 trees > 1.5 meters -- 
2018-09-06,Rhinelander,G10-R1,N-,2,Andropogon gerardii,204,f,
2018-09-06,Escanaba,G8-R4,N+,2,Taraxacum officinale Weber in,6,f, Row 3-4 -- 
2018-09-06,Escanaba,G9-R1,N+,1,Agrostis gigantea Roth,68,f,Row 6-7 -- 
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,169,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,150,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,209,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,160,f,
2018-09-07,Escanaba,G8-R3,N-,3,Conyza canadensis (L.) Cronq.,32,f,Row 2-3 -- 
2018-09-07,Escanaba,G8-R2,N-,4,Taraxacum officinale Weber in,2,f,
2018-09-07,Escanaba,G8-R2,N-,4,Taraxacum officinale Weber in,3,f,
2018-09-07,Escanaba,G6-R2,N-,4,Miscanthus x giganteus,237,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,193,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,180,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,205,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,212,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,196,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,205,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,219,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,188,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,171,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,189,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,208,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,181,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,191,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,194,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,209,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,157,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,180,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,174,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,189,f,
2018-09-07,Escanaba,G5-R2,N-,3,Panicum virgatum L.,198,f,
2018-09-06,Escanaba,G8-R4,N-,3,Taraxacum officinale Weber in,10,f,Row 5-6 -- 
2018-09-06,Escanaba,G8-R4,N-,4,Taraxacum officinale Weber in,11,f,Row 6-7 -- 
2018-09-06,Escanaba,G5-R1,N+,1,Panicum virgatum L.,133,t,disturbed
2018-09-07,Escanaba,G5-R2,N+,1,Panicum virgatum L.,193,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Achillea millefolium L.,81,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Solidago canadensis L.,82,f,
2018-09-05,Hancock,G9-R4,N-,3,Polygonum convolvulus L.,20,f,
2018-09-07,Escanaba,G8-R3,N+,2,Taraxacum officinale Weber in,6,f,Row 6-7 -- 
2018-09-05,Hancock,G10-R4,N-,1,Schizacyrium scoparium (Michx.) Nash (*),54,f,
2018-09-06,Rhinelander,G8-R2,N-,2,Trifolium pratense L.,8,f,Row 3-4 -- 
2018-09-06,Rhinelander,G8-R2,N-,3,Trifolium pratense L.,18,f,Row 5-6 -- 
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,198,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,203,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,142,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,186,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,192,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,174,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,198,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,171,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,202,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,160,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,154,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,190,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,204,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,132,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,180,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,195,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,203,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,210,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,215,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,203,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,193,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,196,f,
