"site","block","nitrogen","ph","p_ppm","est_cec"
"Hancock","R2","amended",6.1,150,9.407435
"Hancock","R2","control",6.2,124,10.4205
"Hancock","R3","amended",6,30.5,1.518015
"Hancock","R3","control",5.9,33,1.64833
"Hancock","R4","amended",6.6,95.5,3.234875
"Hancock","R4","control",6.6,38,2.2591
"Oregon","R1","amended",6.5,5,17.304
"Oregon","R1","control",6.4,9,17.1059
"Oregon","R2","amended",6.1,12,10.9094
"Oregon","R2","control",6,10,12.2244
"Oregon","R3","amended",5.8,21,15.2976
"Oregon","R3","control",5.8,24,16.6064
"Oregon","R4","amended",5.9,14,13.0141
"Oregon","R4","control",6.2,15,11.4688
"Rhinelander","R1","amended",6.05,323,6.824295
"Rhinelander","R1","control",5.9,328,6.25923
"Rhinelander","R2","amended",5.15,275,9.429595
"Rhinelander","R2","control",5.1,297,11.0386
"Rhinelander","R3","amended",5.3,219.5,9.17859
"Rhinelander","R3","control",5.4,237,8.59038
"Rhinelander","R4","amended",5.4,282.5,9.82519
"Rhinelander","R4","control",5.3,282,10.7827
