"site","block","nitrogen","yield","moisture"
"Hancock","R2","amended",3.864133,0.27
"Hancock","R2","control",3.379928,0.28
"Hancock","R3","amended",0.375836,0.18
"Hancock","R3","control",0.465469,0.17
"Hancock","R4","amended",1.181194,0.2
"Hancock","R4","control",0.621328,0.19
"Oregon","R1","amended",9.058048,0.28
"Oregon","R1","control",10.063491,0.26
"Oregon","R2","amended",10.112541,0.24
"Oregon","R2","control",11.177756,0.28
"Oregon","R3","amended",9.049757,0.26
"Oregon","R3","control",11.005341,0.26
"Oregon","R4","amended",11.407762,0.29
"Oregon","R4","control",10.626684,0.29
"Rhinelander","R1","amended",3.319372,0.62
"Rhinelander","R1","control",1.634805,0.29
"Rhinelander","R2","amended",4.263003,0.68
"Rhinelander","R2","control",3.165049,0.49
"Rhinelander","R3","amended",4.416651,0.68
"Rhinelander","R3","control",2.164329,0.34
"Rhinelander","R4","amended",3.797054,0.69
"Rhinelander","R4","control",1.943008,0.33
