"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","div_rich","div_rar","div_shan","div_simp","ASV_1","ASV_2","ASV_4","ASV_5","ASV_6","ASV_7","ASV_8","ASV_9","ASV_10","ASV_11","ASV_12","ASV_13","ASV_14","ASV_15","ASV_16","ASV_17","ASV_18","ASV_19","ASV_20","ASV_21","ASV_22","ASV_23","ASV_24","ASV_25","ASV_26","ASV_27","ASV_28","ASV_29","ASV_30","ASV_31","ASV_32","ASV_33","ASV_34","ASV_36","ASV_37","ASV_38","ASV_39","ASV_40","ASV_41","ASV_42","ASV_43","ASV_44","ASV_45","ASV_46","ASV_47","ASV_48","ASV_49","ASV_50","ASV_52","ASV_53","ASV_54","ASV_55","ASV_56","ASV_57","ASV_58","ASV_59","ASV_60","ASV_61","ASV_62","ASV_63","ASV_64","ASV_65","ASV_66","ASV_67","ASV_68","ASV_69","ASV_70","ASV_71","ASV_72","ASV_73","ASV_74","ASV_75","ASV_76","ASV_78","ASV_79","ASV_80","ASV_81","ASV_82","ASV_83","ASV_84","ASV_85","ASV_86","ASV_87","ASV_88","ASV_89","ASV_90","ASV_91","ASV_92","ASV_93","ASV_94","ASV_95","ASV_96","ASV_97","ASV_98","ASV_99","ASV_100","ASV_101","ASV_102","ASV_103","ASV_104","ASV_105","ASV_106","ASV_107","ASV_108","ASV_109","ASV_110","ASV_111","ASV_112","ASV_113","ASV_114","ASV_115","ASV_116","ASV_117","ASV_118","ASV_119","ASV_120","ASV_121","ASV_122","ASV_123","ASV_124","ASV_126","ASV_127","ASV_129","ASV_130","ASV_131","ASV_132","ASV_133","ASV_134","ASV_135","ASV_136","ASV_137","ASV_138","ASV_141","ASV_142","ASV_143","ASV_144","ASV_145","ASV_146","ASV_147","ASV_148","ASV_149","ASV_150","ASV_151","ASV_152","ASV_153","ASV_154","ASV_155","ASV_157","ASV_159","ASV_160","ASV_161","ASV_162","ASV_163","ASV_164","ASV_165","ASV_166","ASV_167","ASV_168","ASV_169","ASV_170","ASV_171","ASV_172","ASV_174","ASV_175","ASV_176","ASV_177","ASV_178","ASV_179","ASV_180","ASV_182","ASV_183","ASV_184","ASV_185","ASV_186","ASV_187","ASV_188","ASV_189","ASV_190","ASV_191","ASV_192","ASV_193","ASV_194","ASV_195","ASV_196","ASV_197","ASV_199","ASV_200","ASV_201","ASV_202","ASV_203","ASV_204","ASV_205","ASV_206","ASV_207","ASV_208","ASV_209","ASV_210","ASV_211","ASV_212","ASV_213","ASV_214","ASV_215","ASV_216","ASV_217","ASV_218","ASV_219","ASV_220","ASV_221","ASV_223","ASV_224","ASV_225","ASV_226","ASV_227","ASV_228","ASV_229","ASV_230","ASV_231","ASV_232","ASV_233","ASV_234","ASV_235","ASV_236","ASV_237","ASV_238","ASV_239","ASV_240","ASV_241","ASV_242","ASV_244","ASV_245","ASV_246","ASV_247","ASV_248","ASV_249","ASV_250","ASV_251","ASV_252","ASV_253","ASV_254","ASV_255","ASV_256","ASV_257","ASV_259","ASV_260","ASV_261","ASV_262","ASV_263","ASV_264","ASV_265","ASV_266","ASV_267","ASV_269","ASV_270","ASV_271","ASV_272","ASV_273","ASV_274","ASV_275","ASV_276","ASV_277","ASV_278","ASV_279","ASV_280","ASV_282","ASV_283","ASV_284","ASV_285","ASV_286","ASV_288","ASV_289","ASV_290","ASV_291","ASV_292","ASV_293","ASV_294","ASV_295","ASV_296","ASV_297","ASV_298","ASV_300","ASV_301","ASV_302","ASV_303","ASV_305","ASV_306","ASV_307","ASV_308","ASV_309","ASV_310","ASV_311","ASV_312","ASV_313","ASV_314","ASV_315","ASV_316","ASV_317","ASV_318","ASV_319","ASV_320","ASV_321","ASV_322","ASV_324","ASV_325","ASV_326","ASV_327","ASV_329","ASV_330","ASV_331","ASV_333","ASV_335","ASV_337","ASV_338","ASV_339","ASV_340","ASV_341","ASV_342","ASV_343","ASV_345","ASV_346","ASV_347","ASV_349","ASV_350","ASV_351","ASV_352","ASV_353","ASV_354","ASV_355","ASV_356","ASV_357","ASV_358","ASV_359","ASV_360","ASV_361","ASV_362","ASV_363","ASV_364","ASV_365","ASV_366","ASV_367","ASV_368","ASV_369","ASV_370","ASV_371","ASV_373","ASV_374","ASV_375","ASV_376","ASV_377","ASV_378","ASV_379","ASV_381","ASV_382","ASV_383","ASV_384","ASV_385","ASV_386","ASV_388","ASV_389","ASV_392","ASV_393","ASV_394","ASV_396","ASV_397","ASV_398","ASV_400","ASV_401","ASV_402","ASV_403","ASV_404","ASV_405","ASV_406","ASV_407","ASV_408","ASV_410","ASV_411","ASV_412","ASV_415","ASV_416","ASV_417","ASV_418","ASV_420","ASV_423","ASV_425","ASV_426"
"Hancock","R2","amended",933.976,3.864133,190.552631578947,0.0526315789473684,6.1,150,9.407435,0.158666666666667,1.74366666666667,10.9894957983193,229.20615,7.66535,41.98385,27.3796,35.2154,21.53905,0.61695,69.36345,55.6864,1.24675,22,21.9119310895224,2.46825840748339,0.890186183100674,0,0,0,0,0,88,0,505,0,0,0,0,0,0,0,0,0,0,0,124,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,221,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,86,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R2","control",819.606,3.379928,196.052631578947,0,6.2,124,10.4205,0.124333333333333,1.43333333333333,11.5281501340483,266.63385,7.11345,68.2382,29.69545,42.72305,20.37915,0.48515,97.93365,62.0392,1.602,48,47.5571552935987,3.10408857502595,0.92880491139209,0,0,0,0,0,668,0,0,323,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,89,0,0,255,0,0,0,130,0,0,0,0,0,0,59,0,0,0,0,0,114,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,89,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,63,0,0,60,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,29,0,0,0,0,28,0,0,27,0,0,0,0,0,25,25,0,0,0,0,0,0,0,22,0,0,21,0,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0
"Hancock","R3","amended",176.954,0.375836,82.8,0,6,30.5,1.518015,0.0226666666666667,0.245333333333333,10.8235294117647,83.005,2.60465,15.28985,13.8601,12.0208,7.2746,0.605,29.14995,18.93705,1.537,16,15.9996845008934,1.90197023389881,0.800423901234568,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R3","control",185.183,0.465469,68.4857142857143,0,5.9,33,1.64833,0.028,0.322666666666667,11.5238095238095,140.64945,3.1581,32.051,23.3169,22.5878,8.7299,0.3856,55.3679,30.8549,1.787,34,33.7169721618037,2.68057752310076,0.893127827655827,0,0,0,0,0,0,0,34,28,0,0,1117,39,0,0,0,21,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,103,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,210,0,207,0,0,0,0,0,0,0,0,0,165,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R4","amended",389.7555,1.181194,131.178571428571,0.0357142857142857,6.6,95.5,3.234875,0.0746666666666667,0.814,10.9017857142857,221.5211,5.21213333333333,35.8779333333333,34.9327666666667,35.3658666666667,18.7418666666667,0.540533333333333,70.8107,53.1349666666667,1.3516,32,31.2719836221208,2.56133423716533,0.885823271575408,0,0,0,0,0,84,0,0,593,0,0,0,54,0,0,0,305,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,4,0,0,277,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,52,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,34,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,27,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R4","control",405.162,0.621328,108.257142857143,0,6.6,38,2.2591,0.059,0.705,11.9491525423729,255.63635,4.4722,88.4631,32.5637,33.20695,15.1284,0.4607,121.0268,47.3967,2.5756,27,26.3847701423583,2.44152005102067,0.881629399095467,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,495,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,382,382,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Oregon","R1","amended",1993.535,9.058048,136.25,0.325,6.5,5,17.304,0.206666666666667,1.619,7.83387096774194,557.77185,15.9419,129.4762,95.81795,84.9749,42.57635,0.5018,225.29415,125.2959,1.79975,26,25.9741779174424,1.92967152682758,0.766469512365854,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,132,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,32,0,0,31,0,0,0,30,0,29,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R1","control",1721.225,10.063491,146.95,0.425,6.4,9,17.1059,0.187666666666667,1.442,7.68383658969805,382.4416,10.98225,88.0003,59.4171,66.4806,31.411,0.4723,147.4174,96.0707,1.51485,20,19.9056346279527,1.82134696074936,0.776659669528335,0,0,0,0,0,0,253,0,776,0,0,0,974,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,33,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Oregon","R2","amended",1621.025,10.112541,124.263157894737,0.657894736842105,6.1,12,10.9094,0.322666666666667,1.95033333333333,6.04442148760331,253.43,13.3193,33.7164,36.667,40.03825,36.4123,0.9071,70.3834,73.6472,0.9658,19,18.1119072523116,2.13613534066658,0.805252373143914,0,3187,0,0,0,1054,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,247,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,169,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
"Oregon","R2","control",2026.015,11.177756,116.947368421053,0.815789473684211,6,10,12.2244,0.262,1.58966666666667,6.06743002544529,222.08675,11.22035,33.2344,37.0518,34.04025,29.0545,0.8518,70.2862,61.23035,1.1418,31,30.7963543400139,2.94356434995996,0.930420243623956,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,90,0,0,0,847,610,0,0,0,0,0,0,0,314,0,0,0,0,0,146,0,0,0,0,444,0,0,0,0,0,0,436,435,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,178,0,0,0,0,0,0,44,0,0,0,129,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,78,0,0,0,0,0,132,0,0,0,0,0,0,125,0,0,0,0,0,0,0,49,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,60,0,0,0,0,0,0,50,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
