"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","C16:1_w5c","C16:1_w7c","C18:1_w9c","C20:1_w9c","n","rich","rich_rar","div_shan","div_simp","even_H","g__Glomeraceae_sp_4","g__Paraglomus","g__Glomeraceae_sp_1","g__Microdominikia","g__Acaulospora","g__Diversispora","g__Glomeraceae_sp_3","g__Dominikia","g__Scutellospora","g__Rhizoglomus","g__Archaeospora","g__Glomus","g__Septoglomus","g__Pervetustus","g__Glomeraceae_sp_2","g__Nanoglomus","g__Cetraspora","g__Gigaspora","g__Dentiscutata","g__Claroideoglomus","g__Funneliformis","g__Ambispora","g__Paraglomeraceae_sp_1","g__Entrophospora","g__Kamienskia"
"Hancock","R2","amended",933.976,3.864133,190.552631578947,0.0526315789473684,6.1,150,9.407435,0.158666666666667,1.74366666666667,10.9894957983193,229.20615,7.66535,41.98385,27.3796,35.2154,21.53905,0.61695,69.36345,55.6864,1.24675,59.0594333333333,14.5658,16.7841,NA,8956,6,5.9999999989497,0.81228192831412,0.520510426538677,0.453343175947649,0,4591,35,4168,0,0,0,0,0,0,0,69,44,49,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R2","control",819.606,3.379928,196.052631578947,0,6.2,124,10.4205,0.124333333333333,1.43333333333333,11.5281501340483,266.63385,7.11345,68.2382,29.69545,42.72305,20.37915,0.48515,97.93365,62.0392,1.602,64.5111333333333,16.3331666666667,22.8156333333333,0.783266666666667,7005,10,9.9999999800358,1.46977045791478,0.697734676108276,0.638313199536803,89,3205,1241,1685,0,0,0,21,0,0,0,248,58,303,121,0,34,0,0,0,0,0,0,0,0
"Hancock","R3","amended",176.954,0.375836,82.8,0,6,30.5,1.518015,0.0226666666666667,0.245333333333333,10.8235294117647,83.005,2.60465,15.28985,13.8601,12.0208,7.2746,0.605,29.14995,18.93705,1.537,16.5083333333333,6.50266666666667,9.4951,0.5571,4770,3,3,0.117853753724409,0.0432318517639509,0.107275109645176,0,4665,0,0,0,0,80,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"Hancock","R3","control",185.183,0.465469,68.4857142857143,0,5.9,33,1.64833,0.028,0.322666666666667,11.5238095238095,140.64945,3.1581,32.051,23.3169,22.5878,8.7299,0.3856,55.3679,30.8549,1.787,28.0092333333333,11.1031,16.6302666666667,1.20733333333333,8918,9,8.89795612818818,0.416604754963946,0.175761281891512,0.189604994983722,588,8074,0,45,0,0,28,0,0,111,0,0,0,4,0,0,24,0,36,0,0,0,0,0,8
"Hancock","R4","amended",389.7555,1.181194,131.178571428571,0.0357142857142857,6.6,95.5,3.234875,0.0746666666666667,0.814,10.9017857142857,221.5211,5.21213333333333,35.8779333333333,34.9327666666667,35.3658666666667,18.7418666666667,0.540533333333333,70.8107,53.1349666666667,1.3516,35.8779333333333,20.8314333333333,25.4265333333333,2.1202,8059,10,9.99992582394085,0.668175158783899,0.26421677539734,0.290184784404676,83,6891,0,325,0,14,0,152,0,72,0,18,48,0,0,0,392,64,0,0,0,0,0,0,0
"Hancock","R4","control",405.162,0.621328,108.257142857143,0,6.6,38,2.2591,0.059,0.705,11.9491525423729,255.63635,4.4722,88.4631,32.5637,33.20695,15.1284,0.4607,121.0268,47.3967,2.5756,91.7491333333333,16.4448666666667,24.0235666666667,2.3063,10898,11,10.9343894687894,1.12722882475627,0.555628054546469,0.470090932470449,98,6762,0,295,0,1058,2412,0,0,6,0,88,0,0,76,0,59,28,0,16,0,0,0,0,0
"Oregon","R1","amended",1993.535,9.058048,136.25,0.325,6.5,5,17.304,0.206666666666667,1.619,7.83387096774194,557.77185,15.9419,129.4762,95.81795,84.9749,42.57635,0.5018,225.29415,125.2959,1.79975,132.669166666667,44.2072666666667,63.6911333333333,2.19223333333333,8203,9,8.99054215688512,0.440816459021887,0.163264484205781,0.200624216372232,0,7496,116,58,0,47,0,271,0,64,7,0,0,0,0,128,0,0,0,0,16,0,0,0,0
"Oregon","R1","control",1721.225,10.063491,146.95,0.425,6.4,9,17.1059,0.187666666666667,1.442,7.68383658969805,382.4416,10.98225,88.0003,59.4171,66.4806,31.411,0.4723,147.4174,96.0707,1.51485,80.6241,45.9549333333333,32.8102333333333,1.49313333333333,5590,5,4.9999963374209,0.24557138988171,0.0979732527737686,0.152582083461865,0,5305,0,0,0,19,0,200,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
"Oregon","R2","amended",1621.025,10.112541,124.263157894737,0.657894736842105,6.1,12,10.9094,0.322666666666667,1.95033333333333,6.04442148760331,253.43,13.3193,33.7164,36.667,40.03825,36.4123,0.9071,70.3834,73.6472,0.9658,35.5088666666667,19.9926333333333,25.5084,0.722233333333333,15436,5,4.69750333821658,1.08053716476493,0.618041216552832,0.671375488558447,0,6255,0,0,6983,1695,0,0,499,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R2","control",2026.015,11.177756,116.947368421053,0.815789473684211,6,10,12.2244,0.262,1.58966666666667,6.06743002544529,222.08675,11.22035,33.2344,37.0518,34.04025,29.0545,0.8518,70.2862,61.23035,1.1418,38.9877333333333,17.4545666666667,25.6025333333333,1.1195,12023,10,9.46435358921942,1.19563375826076,0.56377515193802,0.519257143589893,0,7566,402,1979,0,801,0,0,1037,71,0,0,92,2,0,0,0,0,0,6,0,0,0,67,0
"Oregon","R3","amended",2290.13,9.049757,134.911764705882,0.588235294117647,5.8,21,15.2976,0.214666666666667,1.959,9.12577639751553,284.12665,14.38535,39.59345,39.689,47.88875,40.0984,0.83805,79.28245,86.05745,0.91735,44.9597,23.4616,25.4067666666667,NA,8414,8,7.99691876154807,0.798154472322188,0.382879700256215,0.383831166360856,30,6497,150,589,0,0,0,71,1050,18,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Oregon","R3","control",1753.43,11.005341,142.447368421053,0.394736842105263,5.8,24,16.6064,0.243,1.876,7.7201646090535,343.31665,13.04315,71.3597,36.75965,60.7579,36.36585,0.5974,108.11935,95.53075,1.1246,81.4736333333333,39.0264,28.4135666666667,0.6589,7890,10,9.63452938116462,0.597423990034127,0.260955437647887,0.259457942228445,0,6742,707,53,0,0,0,3,16,27,126,36,2,0,0,0,0,0,0,0,0,0,178,0,0
