"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","div_rich","div_rar","div_shan","div_simp","Glomerales","Paraglomerales","Diversisporales","Archaeosporales"
"Hancock","R2","amended",933.976,3.864133,190.552631578947,0.0526315789473684,6.1,150,9.407435,0.158666666666667,1.74366666666667,10.9894957983193,229.20615,7.66535,41.98385,27.3796,35.2154,21.53905,0.61695,69.36345,55.6864,1.24675,2,2,0.693144523184581,0.49999734262699,"2813","2826","0","0"
"Hancock","R2","control",819.606,3.379928,196.052631578947,0,6.2,124,10.4205,0.124333333333333,1.43333333333333,11.5281501340483,266.63385,7.11345,68.2382,29.69545,42.72305,20.37915,0.48515,97.93365,62.0392,1.602,3,2.99999970949977,0.717854407928374,0.499643204662434,"1747","2175","22","0"
"Hancock","R3","amended",176.954,0.375836,82.8,0,6,30.5,1.518015,0.0226666666666667,0.245333333333333,10.8235294117647,83.005,2.60465,15.28985,13.8601,12.0208,7.2746,0.605,29.14995,18.93705,1.537,3,3,0.244997913523179,0.10239012345679,"65","2130","55","0"
"Hancock","R3","control",185.183,0.465469,68.4857142857143,0,5.9,33,1.64833,0.028,0.322666666666667,11.5238095238095,140.64945,3.1581,32.051,23.3169,22.5878,8.7299,0.3856,55.3679,30.8549,1.787,3,2.99999999997392,0.358047112088581,0.182670071789097,"426","4212","45","0"
"Hancock","R4","amended",389.7555,1.181194,131.178571428571,0.0357142857142857,6.6,95.5,3.234875,0.0746666666666667,0.814,10.9017857142857,221.5211,5.21213333333333,35.8779333333333,34.9327666666667,35.3658666666667,18.7418666666667,0.540533333333333,70.8107,53.1349666666667,1.3516,3,3,0.520470010464154,0.262646568246549,"377","3957","309","0"
"Hancock","R4","control",405.162,0.621328,108.257142857143,0,6.6,38,2.2591,0.059,0.705,11.9491525423729,255.63635,4.4722,88.4631,32.5637,33.20695,15.1284,0.4607,121.0268,47.3967,2.5756,3,2.99999999990429,0.68631175010115,0.456871131185813,"1821","3592","52","0"
"Oregon","R1","amended",1993.535,9.058048,136.25,0.325,6.5,5,17.304,0.206666666666667,1.619,7.83387096774194,557.77185,15.9419,129.4762,95.81795,84.9749,42.57635,0.5018,225.29415,125.2959,1.79975,2,2,0.271895772421422,0.142493142668196,"334","3992","0","0"
"Oregon","R1","control",1721.225,10.063491,146.95,0.425,6.4,9,17.1059,0.187666666666667,1.442,7.68383658969805,382.4416,10.98225,88.0003,59.4171,66.4806,31.411,0.4723,147.4174,96.0707,1.51485,3,3,0.236737132013269,0.101952125620195,"126","2894","0","37"
"Oregon","R2","amended",1621.025,10.112541,124.263157894737,0.657894736842105,6.1,12,10.9094,0.322666666666667,1.95033333333333,6.04442148760331,253.43,13.3193,33.7164,36.667,40.03825,36.4123,0.9071,70.3834,73.6472,0.9658,3,2.55669368047985,0.685456073618351,0.489711290125526,"3","3503","4701","0"
"Oregon","R2","control",2026.015,11.177756,116.947368421053,0.815789473684211,6,10,12.2244,0.262,1.58966666666667,6.06743002544529,222.08675,11.22035,33.2344,37.0518,34.04025,29.0545,0.8518,70.2862,61.23035,1.1418,3,3,0.853157892008268,0.501329507837994,"1566","4209","651","0"
