"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","div_rich","div_rar","div_shan","div_simp","OTU_25","OTU_40","OTU_35","OTU_20","OTU_62","OTU_38","OTU_82","OTU_16","OTU_27","OTU_15","OTU_41","OTU_10","OTU_76","OTU_36","OTU_47","OTU_9","OTU_81","OTU_42","OTU_59","OTU_29","OTU_51","OTU_11","OTU_3","OTU_46","OTU_12","OTU_52","OTU_31","OTU_56","OTU_23","OTU_24","OTU_49","OTU_60","OTU_45","OTU_48","OTU_77","OTU_17","OTU_75","OTU_18","OTU_50","OTU_32","OTU_22","OTU_58","OTU_19","OTU_30","OTU_0","OTU_65","OTU_21","OTU_7","OTU_37","OTU_73","OTU_34","OTU_55","OTU_28","OTU_8","OTU_53","OTU_5","OTU_6","OTU_2","OTU_64","OTU_72","OTU_57","OTU_54","OTU_13","OTU_14","OTU_39","OTU_68","OTU_26","OTU_63","OTU_44","OTU_4","OTU_66","OTU_43","OTU_80","OTU_61","OTU_70","OTU_33","OTU_79","OTU_71","OTU_67","OTU_1","OTU_78","OTU_74","OTU_69"
"Hancock","R2","amended",933.976,3.864133,190.552631578947,0.0526315789473684,6.1,150,9.407435,0.158666666666667,1.74366666666667,10.9894957983193,229.20615,7.66535,41.98385,27.3796,35.2154,21.53905,0.61695,69.36345,55.6864,1.24675,10,9.92626681514462,1.2016859082193,0.643025208783822,"0","2721","0","21","0","86","0","0","1720","989","0","0","0","0","0","0","0","0","0","0","0","0","0","45","22","0","0","0","0","0","19","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"Hancock","R2","control",819.606,3.379928,196.052631578947,0,6.2,124,10.4205,0.124333333333333,1.43333333333333,11.5281501340483,266.63385,7.11345,68.2382,29.69545,42.72305,20.37915,0.48515,97.93365,62.0392,1.602,20,19.9505407960657,1.79419026006194,0.74382345530995,"0","1732","0","642","0","217","0","0","238","672","0","0","0","0","0","0","0","0","0","0","0","0","45","91","13","22","19","31","0","0","115","0","0","0","0","18","10","26","0","0","9","0","0","0","0","7","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","5","0","0","0","0","0","0","0"
"Hancock","R3","amended",176.954,0.375836,82.8,0,6,30.5,1.518015,0.0226666666666667,0.245333333333333,10.8235294117647,83.005,2.60465,15.28985,13.8601,12.0208,7.2746,0.605,29.14995,18.93705,1.537,7,6.99968522237822,0.507634867028974,0.200034765432099,"0","0","86","0","0","0","2009","0","0","4","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hancock","R3","control",185.183,0.465469,68.4857142857143,0,5.9,33,1.64833,0.028,0.322666666666667,11.5238095238095,140.64945,3.1581,32.051,23.3169,22.5878,8.7299,0.3856,55.3679,30.8549,1.787,13,12.741778564574,1.00299143008197,0.449645058074173,"0","462","3411","0","0","0","326","0","19","0","0","8","0","0","331","0","0","0","0","0","0","0","0","0","0","19","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0"
"Hancock","R4","amended",389.7555,1.181194,131.178571428571,0.0357142857142857,6.6,95.5,3.234875,0.0746666666666667,0.814,10.9017857142857,221.5211,5.21213333333333,35.8779333333333,34.9327666666667,35.3658666666667,18.7418666666667,0.540533333333333,70.8107,53.1349666666667,1.3516,15,14.9950924273881,0.832430660478104,0.311814723532455,"0","3837","0","0","0","102","18","0","66","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277","0","0","0","0","0","14","25","0","20","0","0","0","10","0","25","0","27","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","29","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hancock","R4","control",405.162,0.621328,108.257142857143,0,6.6,38,2.2591,0.059,0.705,11.9491525423729,255.63635,4.4722,88.4631,32.5637,33.20695,15.1284,0.4607,121.0268,47.3967,2.5756,17,16.3925680978653,1.04892699130276,0.509272062337975,"0","3532","0","0","0","58","0","0","88","69","0","1469","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","31","0","4","0","17","0","11","0","0","15","10","17","0","47","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon","R1","amended",1993.535,9.058048,136.25,0.325,6.5,5,17.304,0.206666666666667,1.619,7.83387096774194,557.77185,15.9419,129.4762,95.81795,84.9749,42.57635,0.5018,225.29415,125.2959,1.79975,15,14.9908820449771,1.23896226404766,0.601356525894991,"0","0","0","54","0","0","0","2259","10","14","0","0","0","0","0","1519","69","0","0","61","0","0","183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","16","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","35","31","0","0","0","0","0","0","11","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oregon","R1","control",1721.225,10.063491,146.95,0.425,6.4,9,17.1059,0.187666666666667,1.442,7.68383658969805,382.4416,10.98225,88.0003,59.4171,66.4806,31.411,0.4723,147.4174,96.0707,1.51485,12,11.9228325517455,0.816764827531605,0.34161486761883,"0","2459","0","0","4","34","0","303","0","3","0","0","0","0","0","0","59","0","0","59","0","0","25","0","0","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"Oregon","R2","amended",1621.025,10.112541,124.263157894737,0.657894736842105,6.1,12,10.9094,0.322666666666667,1.95033333333333,6.04442148760331,253.43,13.3193,33.7164,36.667,40.03825,36.4123,0.9071,70.3834,73.6472,0.9658,6,5.11338736092215,0.843205853623253,0.528740254469281,"0","3503","0","0","0","0","0","0","0","0","4407","0","88","0","0","0","0","0","203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Oregon","R2","control",2026.015,11.177756,116.947368421053,0.815789473684211,6,10,12.2244,0.262,1.58966666666667,6.06743002544529,222.08675,11.22035,33.2344,37.0518,34.04025,29.0545,0.8518,70.2862,61.23035,1.1418,12,11.9999997384253,1.8289685495569,0.767455905141045,"0","635","0","228","2726","848","0","0","506","667","0","0","528","0","0","0","0","0","0","0","0","42","0","0","59","0","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
