"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","C16:1_w5c","C16:1_w7c","C18:1_w9c","C20:1_w9c","n","rich","rich_rar","div_shan","div_simp","even_H","Glomeraceae sp. 4","Paraglomus brasilianum","Paraglomus occultum","Paraglomus sp. 1","Glomeraceae sp. 1","Paraglomus laccatum","Paraglomus sp. 3","Microdominikia litorea","Acaulospora scrobiculata","Diversispora sporocarpia","Glomeraceae sp. 3","Dominikia sp. 5","Paraglomus sp. 2","Scutellospora sp. 2","Diversispora sp. 1","Rhizoglomus sp. 4","Paraglomus sp. 4","Archaeospora sp. 1","Glomus macrocarpum","Septoglomus sp. 1","Pervetustus sp. 3","Scutellospora calospora","Glomeraceae sp. 2","Nanoglomus sp. 1","Diversispora sp. 3","Cetraspora nodosa","Rhizoglomus sp. 6","Diversispora aurantia","Dominikia sp. 3","Gigaspora margarita","Pervetustus sp. 2","Rhizoglomus irregulare","Dentiscutata sp. 1","Claroideoglomus sp. 1","Rhizoglomus sp. 1","Rhizoglomus sp. 2","Diversispora celata","Funneliformis mosseae","Ambispora sp. 1","Rhizoglomus sp. 3","Paraglomeraceae sp. 1","Rhizoglomus sp. 5","Dominikia sp. 2","Dominikia sp. 4","Diversispora sp. 2","Scutellospora sp. 1","Entrophospora infrequens","Dominikia sp. 1","Septoglomus sp. 2","Kamienskia sp. 1","Claroideoglomus lamellosum","Pervetustus sp. 1","Dominikia cimpressa"
"Hancock","R2","amended",933.976,3.864133,190.552631578947,0.0526315789473684,6.1,150,9.407435,0.158666666666667,1.74366666666667,10.9894957983193,229.20615,7.66535,41.98385,27.3796,35.2154,21.53905,0.61695,69.36345,55.6864,1.24675,59.0594333333333,14.5658,16.7841,NA,8956,7,6.9999999989497,0.877139071585555,0.534646530574467,0.450760314915559,0,4464,0,0,35,127,0,4168,0,0,0,0,0,0,0,0,0,0,69,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R2","control",819.606,3.379928,196.052631578947,0,6.2,124,10.4205,0.124333333333333,1.43333333333333,11.5281501340483,266.63385,7.11345,68.2382,29.69545,42.72305,20.37915,0.48515,97.93365,62.0392,1.602,64.5111333333333,16.3331666666667,22.8156333333333,0.783266666666667,7005,14,13.99999987159,1.77952388023361,0.769892903050284,0.674302850591368,89,2552,0,0,1241,433,0,1685,0,0,0,0,0,0,0,0,220,0,248,39,274,0,121,0,0,34,0,0,21,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"Hancock","R3","amended",176.954,0.375836,82.8,0,6,30.5,1.518015,0.0226666666666667,0.245333333333333,10.8235294117647,83.005,2.60465,15.28985,13.8601,12.0208,7.2746,0.605,29.14995,18.93705,1.537,16.5083333333333,6.50266666666667,9.4951,0.5571,4770,4,4,0.367235979403666,0.168626328951474,0.264904763160835,0,0,329,0,0,0,4336,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hancock","R3","control",185.183,0.465469,68.4857142857143,0,5.9,33,1.64833,0.028,0.322666666666667,11.5238095238095,140.64945,3.1581,32.051,23.3169,22.5878,8.7299,0.3856,55.3679,30.8549,1.787,28.0092333333333,11.1031,16.6302666666667,1.20733333333333,8918,12,11.8979522744875,0.956128108617754,0.425688945067318,0.398736391644804,588,803,6657,0,0,0,593,45,0,0,28,0,0,0,0,0,21,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,36,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,8,0,4,0
"Hancock","R4","amended",389.7555,1.181194,131.178571428571,0.0357142857142857,6.6,95.5,3.234875,0.0746666666666667,0.814,10.9017857142857,221.5211,5.21213333333333,35.8779333333333,34.9327666666667,35.3658666666667,18.7418666666667,0.540533333333333,70.8107,53.1349666666667,1.3516,35.8779333333333,20.8314333333333,25.4265333333333,2.1202,8059,15,14.9998906877483,0.836710683854371,0.315442041547385,0.308971629666916,83,6643,0,0,0,199,34,325,0,0,0,0,15,0,14,0,0,0,18,48,0,0,0,0,0,392,31,0,40,64,0,41,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0
"Hancock","R4","control",405.162,0.621328,108.257142857143,0,6.6,38,2.2591,0.059,0.705,11.9491525423729,255.63635,4.4722,88.4631,32.5637,33.20695,15.1284,0.4607,121.0268,47.3967,2.5756,91.7491333333333,16.4448666666667,24.0235666666667,2.3063,10898,14,13.6795159470356,1.20785977334301,0.568386494214307,0.457686068350437,98,6664,0,0,0,95,0,295,0,0,2412,0,0,0,948,0,3,0,88,0,0,0,76,0,0,59,0,0,0,28,0,0,0,16,0,0,0,0,0,6,0,0,0,0,110,0,0,0,0,0,0,0,0
"Oregon","R1","amended",1993.535,9.058048,136.25,0.325,6.5,5,17.304,0.206666666666667,1.619,7.83387096774194,557.77185,15.9419,129.4762,95.81795,84.9749,42.57635,0.5018,225.29415,125.2959,1.79975,132.669166666667,44.2072666666667,63.6911333333333,2.19223333333333,8203,11,10.990542155832,0.609310825821593,0.232565313704312,0.254102350813061,0,0,0,7171,116,0,0,58,0,0,0,271,0,0,0,0,325,7,0,0,0,0,0,128,47,0,0,0,0,0,0,0,0,0,32,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R1","control",1721.225,10.063491,146.95,0.425,6.4,9,17.1059,0.187666666666667,1.442,7.68383658969805,382.4416,10.98225,88.0003,59.4171,66.4806,31.411,0.4723,147.4174,96.0707,1.51485,80.6241,45.9549333333333,32.8102333333333,1.49313333333333,5590,9,8.99995035807878,0.65725812052779,0.288289656011086,0.299131061661712,0,4683,0,509,0,46,0,0,0,8,0,200,0,0,0,10,67,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R2","amended",1621.025,10.112541,124.263157894737,0.657894736842105,6.1,12,10.9094,0.322666666666667,1.95033333333333,6.04442148760331,253.43,13.3193,33.7164,36.667,40.03825,36.4123,0.9071,70.3834,73.6472,0.9658,35.5088666666667,19.9926333333333,25.5084,0.722233333333333,15436,8,7.60603216036123,1.13069311027913,0.620004870439134,0.543748447655674,0,6255,0,0,0,0,0,0,6983,1587,0,0,0,272,0,0,0,0,0,0,0,227,0,0,0,0,4,100,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R2","control",2026.015,11.177756,116.947368421053,0.815789473684211,6,10,12.2244,0.262,1.58966666666667,6.06743002544529,222.08675,11.22035,33.2344,37.0518,34.04025,29.0545,0.8518,70.2862,61.23035,1.1418,38.9877333333333,17.4545666666667,25.6025333333333,1.1195,12023,16,15.1064191889413,1.55825792357438,0.665134665336779,0.575416926517888,0,1081,0,0,402,6485,0,1979,0,304,0,0,0,920,0,68,0,0,0,92,2,7,0,0,172,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,3,0,0,0,110,67,0,0,0,6,0,0
"Oregon","R3","amended",2290.13,9.049757,134.911764705882,0.588235294117647,5.8,21,15.2976,0.214666666666667,1.959,9.12577639751553,284.12665,14.38535,39.59345,39.689,47.88875,40.0984,0.83805,79.28245,86.05745,0.91735,44.9597,23.4616,25.4067666666667,NA,8414,12,11.9969187553354,1.39948306571721,0.685874007965151,0.563193416475669,30,3400,0,0,150,3066,0,589,0,0,0,41,0,945,0,0,31,0,0,0,0,105,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"Oregon","R3","control",1753.43,11.005341,142.447368421053,0.394736842105263,5.8,24,16.6064,0.243,1.876,7.7201646090535,343.31665,13.04315,71.3597,36.75965,60.7579,36.36585,0.5974,108.11935,95.53075,1.1246,81.4736333333333,39.0264,28.4135666666667,0.6589,7890,14,13.626534920874,1.188315155951,0.572630160267686,0.463289909601586,0,1812,161,0,707,4769,0,53,0,0,0,0,0,8,0,0,0,126,36,2,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,178,10,0,0,0,0,0,0,0,0,0,0,3
"Oregon","R4","amended",2206.3,11.407762,134.425,0.45,5.9,14,13.0141,0.297333333333333,1.783,5.99663677130045,342.9325,12.40395,78.4346,58.43565,50.81345,32.7129,0.64155,136.87025,81.76505,1.6891,78.2382,26.8131,32.4382666666667,1.68533333333333,10072,17,16.9520858062583,1.36829908578354,0.635683878300226,0.482949541605855,0,768,5401,0,24,2597,71,22,31,32,0,40,0,466,0,465,9,96,13,0,0,10,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R4","control",1448.73,10.626684,151.55,0.375,6.2,15,11.4688,0.301666666666667,1.61333333333333,5.34806629834254,430.1627,14.4232,117.7159,60.65385,68.7243,33.11195,0.4818,178.36975,98.9536,1.80255,114.474766666667,29.9115666666667,40.2555,1.5697,3988,11,11,1.40600856575474,0.664783342001934,0.586351114539672,0,1083,0,0,2,0,0,348,0,274,0,1985,0,103,0,55,0,0,0,15,0,0,0,0,3,0,38,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R1","amended",674.679,3.319372,157.484848484848,0,6.05,323,6.824295,0.112666666666667,1.34333333333333,11.9230769230769,279.2726,3.73825,104.14045,16.23405,36.3306,14.8999,0.4145,120.3745,50.1805,2.44005,105.473366666667,19.3689333333333,10.4814666666667,0.4111,9511,6,5.97767300801146,0.789009143805288,0.51641437019933,0.440354387603832,17,4996,0,0,4332,0,0,132,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R1","control",444.6185,1.634805,133.157894736842,0,5.9,328,6.25923,0.109666666666667,1.327,12.1003039513678,251.720633333333,3.59326666666667,92.7046,17.7682,29.4068666666667,13.1473,0.445766666666667,110.4728,41.6244333333333,2.63523333333333,92.7046,16.5543666666667,10.5207666666667,0.370966666666667,6182,7,6.99998893005652,0.94361319342677,0.457487067839014,0.484921255940244,0,962,0,0,4422,76,0,463,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0
