,Kingdom,Phylum,Class,Order,Family,Genus,Species,Binomial
ASV_1,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_sp_4,s__Glomeraceae_sp_4,Glomeraceae sp. 4
ASV_2,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,g__Acaulospora,s__scrobiculata,Acaulospora scrobiculata
ASV_3,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__Paraglomus_sp_1,Paraglomus sp. 1
ASV_4,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_sp_4,s__Glomeraceae_sp_4,Glomeraceae sp. 4
ASV_5,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_6,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_7,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_8,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_9,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_sp_4,s__Glomeraceae_sp_4,Glomeraceae sp. 4
ASV_10,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
ASV_11,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_sp_4,s__Glomeraceae_sp_4,Glomeraceae sp. 4
ASV_12,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_13,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomeraceae_sp_4,s__Glomeraceae_sp_4,Glomeraceae sp. 4
ASV_14,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
