,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_2,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora
ASV_3,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_4,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_5,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_6,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_7,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_8,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_9,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_10,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_11,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_12,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_13,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_14,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_15,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_16,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_17,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_18,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_19,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_20,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_21,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_22,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_23,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_24,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_25,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_26,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_27,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_28,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_29,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_30,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_31,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_32,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_33,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_34,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_35,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_36,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_37,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_38,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_39,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_40,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_41,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_42,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_43,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_44,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_45,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_46,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_47,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_48,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_49,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_50,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_51,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus
ASV_52,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_53,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_54,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_55,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_56,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_57,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_58,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_59,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_60,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_61,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_62,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_63,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_64,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_65,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_66,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_67,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_68,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_69,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_70,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_71,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_72,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_73,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_74,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_75,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_76,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Scutellosporaceae,Scutellospora
ASV_77,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_78,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_79,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora
ASV_80,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_81,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_82,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_83,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora
ASV_84,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_85,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_86,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_87,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_88,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_89,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora
ASV_90,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_91,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_92,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_93,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_94,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_95,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_96,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_97,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_98,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_99,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_100,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_101,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_102,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_103,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Scutellosporaceae,Scutellospora
ASV_104,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_105,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus
ASV_106,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_107,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_108,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
ASV_109,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus
