,Kingdom,Phylum,Class,Order,Family,Genus,Species,Binomial
ASV_1,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_2,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,g__Acaulospora,s__spinosa,Acaulospora spinosa
ASV_3,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_4,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_5,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_6,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_7,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_8,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_9,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_10,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
ASV_11,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_12,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_13,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_14,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_15,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_16,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_17,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_18,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_19,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_20,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
ASV_21,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_22,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_23,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_24,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_25,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_26,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_27,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_28,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
ASV_29,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_30,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Glomus indicum
ASV_31,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
ASV_32,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_33,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_34,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_35,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_36,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,NA
ASV_37,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_38,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_39,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_40,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
ASV_41,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_42,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Glomus indicum
ASV_43,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_44,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_45,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__brasilianum,Paraglomus brasilianum
ASV_46,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,NA
ASV_47,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,s__occultum,Paraglomus occultum
