Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,fertilizer_regm,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_taxid,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,plot,ReleaseDate,Sample Name,SRA Study
SRR10485097,AMPLICON,1610,16152842,PRJNA590305,SAMN13324207,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7933799,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174840,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc10,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R302C,2020-01-31T00:00:00Z,G00003028_R302C,SRP230376
SRR10485098,AMPLICON,1628,10285489,PRJNA590305,SAMN13324206,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5140721,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174839,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc09,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R302A,2020-01-31T00:00:00Z,G00003027_R302A,SRP230376
SRR10485100,AMPLICON,1619,15142190,PRJNA590305,SAMN13324204,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7588359,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174837,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc07,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R206E,2020-01-31T00:00:00Z,G00003025_R206E,SRP230376
SRR10485101,AMPLICON,1605,13031659,PRJNA590305,SAMN13324203,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6379838,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174836,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc06,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R206B,2020-01-31T00:00:00Z,G00003024_R206B,SRP230376
SRR10485102,AMPLICON,1304,13771963,PRJNA590305,SAMN13324245,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6435267,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174835,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc48,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H402B,2020-01-31T00:00:00Z,G00003066_H402B,SRP230376
SRR10485103,AMPLICON,1623,16072384,PRJNA590305,SAMN13324244,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8039310,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174834,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc47,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R302B,2020-01-31T00:00:00Z,G00003065_R302B,SRP230376
SRR10485104,AMPLICON,1651,2906858,PRJNA590305,SAMN13324243,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",1523238,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174833,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc46,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R206G,2020-01-31T00:00:00Z,G00003064_R206G,SRP230376
SRR10485105,AMPLICON,1656,7097861,PRJNA590305,SAMN13324242,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",3507907,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174832,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc45,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R101F,2020-01-31T00:00:00Z,G00003063_R101F,SRP230376
SRR10485106,AMPLICON,1650,221107,PRJNA590305,SAMN13324241,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",184394,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174831,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc44,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O404F,2020-01-31T00:00:00Z,G00003062_O404F,SRP230376
SRR10485107,AMPLICON,1622,11011044,PRJNA590305,SAMN13324240,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5352720,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174830,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc43,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O404E,2020-01-31T00:00:00Z,G00003061_O404E,SRP230376
SRR10485108,AMPLICON,1610,16578956,PRJNA590305,SAMN13324239,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8300021,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174829,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc42,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O404C,2020-01-31T00:00:00Z,G00003060_O404C,SRP230376
SRR10485109,AMPLICON,1603,16983169,PRJNA590305,SAMN13324238,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8317215,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174828,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc41,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O404A,2020-01-31T00:00:00Z,G00003059_O404A,SRP230376
SRR10485110,AMPLICON,1657,12339406,PRJNA590305,SAMN13324202,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6169638,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174827,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc05,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R206A,2020-01-31T00:00:00Z,G00003023_R206A,SRP230376
SRR10485111,AMPLICON,1668,8902294,PRJNA590305,SAMN13324237,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",4392258,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174826,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc40,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O301G,2020-01-31T00:00:00Z,G00003058_O301G,SRP230376
