species,taxonomy,GenBank,generic_type,speciic_type
Ambispora_fennica,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora_fennica,FN547535,1,
Archaeospora_schenkii,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__Archaeospora_schenckii,FR750020,0,
Palaeospora_spainii,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Archaeosporaceae;g__Palaeospora;s__Palaeospora_spainii,HG977198,1,
Geosiphon_pyriformis,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Geosiphonaceae;g__Geosiphon;s__Geosiphon_pyriformis,NA,NA,
Claroideoglomus_claroideum,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__Claroideoglomus_claroideum,FR750055,1,
Dominikia_indica,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__Dominikia_indica,KJ564169,0,
Funneliformis_mosseae,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis_mosseae,FN547474,1,
Funneliglomus_sanmartinense,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliglomus;s__Funneliglomus_sanmartinense,MK348940,1,
Glomus_macrocarpum,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus_macrocarpum,FR750526,1,
Halonatospora_pansihalos,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Halonatospora;s__Halonatospora_pansihalos,MH560604,1,
Kamienskia_bistrata,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Kamienskia;s__Kamienskia_bistrata,KJ564135,1,
Oehlia_diaphana,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Oehlia;s__Oehlia_diaphana,MG836666,1,
Rhizophagus_irregularis,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus_irregularis,FM992384,0,
Sclerocarpum_amazonicum,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Sclerocarpum;s__Sclerocarpum_amazonicum,MK036784,1,
Sclerocystis_coremioides,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Sclerocystis;s__Sclerocystis_coremioides,NA,NA,
Septoglomus_constrictum,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus_constrictum,JF439167,1,
Acaulospora_laevis,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__Acaulospora_laevis,FN547512,1,
Corymbiglomus_corymbiforme,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Corymbiglomus;s__Corymbiglomus_corymbiforme,KF060295,1,
Diversispora_spurca,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_spurca,FN547637,1,
Desertispora_omaniana,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Desertispora;s__Desertispora_omaniana,MG459210,1,
